datetime,timestamp,price,action,position_type,quantity,balance,networth,reward,reward_networth,reward_action,reward_market,done,trade_count,profitable_trades,win_rate,total_profit,max_drawdown
2020-04-08 18:00:00+00:00,1586368800,7317.0,sell,short,0.27435747638860997,10020.90682509398,10017.614535377317,-529.6245718026514,-329.2289716662708,-200.41813650187956,0.02253636549887306,False,57,32,0.5614035087719298,20.906825093983812,0.0184456435328474
2020-04-08 19:00:00+00:00,1586372400,7308.5,hold,short,0.27435747638860997,10020.90682509398,10019.94657392662,233.23028203497523,233.20385493025242,0.01,0.01642710472279152,False,57,32,0.5614035087719298,20.906825093983812,0.0184456435328474
2020-04-08 20:00:00+00:00,1586376000,7315.0,hold,short,0.27435747638860997,10020.90682509398,10018.163250330093,-178.30074286979706,-178.33235965263157,0.02,0.011616782834494854,False,57,32,0.5614035087719298,20.906825093983812,0.0184456435328474
2020-04-08 21:00:00+00:00,1586379600,7318.0,hold,short,0.27435747638860997,10020.90682509398,10017.340177900927,-82.26834916276492,-82.30724291661318,0.030000000000000002,0.008893753848258079,False,57,32,0.5614035087719298,20.906825093983812,0.018472525858497766
2020-04-08 22:00:00+00:00,1586383200,7353.5,hold,short,0.27435747638860997,10020.90682509398,10007.600487489133,-973.9249400174111,-973.9690411794072,0.04,0.004101161995899716,False,57,32,0.5614035087719298,20.906825093983812,0.019426848419081072
2020-04-08 23:00:00+00:00,1586386800,7356.5,close_short,None,0.0,10007.600487489133,10007.600487489133,-1330.6337604847583,0.0,-1330.6337604847583,0.0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 00:00:00+00:00,1586390400,7343.5,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 01:00:00+00:00,1586394000,7309.0,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 02:00:00+00:00,1586397600,7318.5,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 03:00:00+00:00,1586401200,7283.0,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 04:00:00+00:00,1586404800,7285.5,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 05:00:00+00:00,1586408400,7305.5,hold,None,0.0,10007.600487489133,10007.600487489133,0.0,0.0,0.0,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
